IdAluno;Resultado;1>;11>;11>11>;11>14>;11>31>;11>48>;11>9>;11>9>11>;12>;14>;14>11>;14>11>48>;14>14>;14>14>14>;14>14>14>14>;14>14>31>;14>14>41>;14>2>;14>3>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>30>31>;14>31>30>31>30>;14>31>31>;14>31>31>30>;14>31>41>;14>31>48>;14>32>;14>32>31>;14>38>;14>38>14>;14>38>33>;14>39>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>48>;14>49>;14>7>;15>;15>31>;16>;16>31>;16>31>30>;17>;17>30>;17>30>14>;17>31>;2>;2>14>;2>31>;2>41>;28>;28>30>;29>;3>;3>2>;30>;30>14>;30>14>31>;30>14>31>30>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>14>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>31>;30>30>48>;30>31>;30>31>14>;30>31>30>;30>31>30>30>;30>31>30>31>;30>31>30>31>30>;30>31>30>31>30>31>;30>31>30>31>30>31>30>;30>41>;30>48>;30>48>31>;31>;31>14>;31>14>31>;31>14>31>30>;31>14>41>;31>15>;31>16>;31>16>31>;31>30>;31>30>14>;31>30>14>31>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>31>;31>30>31>14>;31>30>31>30>;31>30>31>30>31>;31>30>31>30>31>30>;31>30>31>30>31>30>31>;31>30>31>30>31>30>31>30>;31>30>48>;31>31>;31>31>14>;31>31>30>;31>31>30>30>;31>31>31>;31>32>;31>38>;31>41>;31>41>41>;31>48>;31>48>30>;31>48>30>30>;32>;32>14>;32>31>;32>31>30>;33>;34>;34>36>;34>36>37>;34>37>;34>38>;36>;36>34>;36>34>37>;36>36>;36>36>34>;36>36>34>37>;36>36>36>;36>37>;37>;37>34>;37>36>;37>38>;38>;38>14>;38>14>31>;38>14>38>;38>31>;38>33>;38>36>;38>38>;39>;39>38>;4>;41>;41>14>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;42>;46>;48>;48>14>;48>29>;48>30>;48>30>30>;48>31>;48>31>30>;48>48>;48>49>;49>;49>14>;49>48>;49>49>;49>49>48>;5>;6>;6>6>;6>6>6>;6>6>6>6>;7>;7>5>;8>;9>;9>11>
11823-6547;SUCESSO;1;5;0;1;0;0;0;0;0;54;2;0;0;0;0;0;0;0;0;24;1;11;2;1;0;0;0;0;6;3;0;0;0;0;6;0;1;0;9;2;2;0;0;1;0;0;0;4;4;1;14;11;1;3;6;1;0;0;1;1;0;0;0;47;4;2;1;1;9;0;6;0;5;1;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;52;7;2;2;0;0;0;0;28;3;2;6;3;3;1;0;1;0;0;0;0;0;0;0;9;1;6;1;0;0;0;4;0;0;0;0;0;0;0;0;5;5;2;1;3;0;6;4;3;3;0;0;0;2;5;1;0;4;12;2;0;0;3;5;2;2;0;0;0;27;0;6;3;5;2;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
13483-6547;SUCESSO;1;2;0;0;0;0;0;0;0;59;2;0;3;0;0;2;0;3;0;30;1;20;0;2;1;0;3;0;1;0;0;0;0;0;2;1;0;0;16;1;1;0;0;1;0;0;0;3;3;3;9;7;0;1;8;1;0;0;3;3;0;0;0;53;1;1;1;0;11;0;5;0;3;1;0;0;4;0;19;0;14;2;6;0;0;0;1;2;0;64;6;1;1;1;0;0;0;43;1;1;10;3;2;1;0;11;0;8;0;0;0;0;0;3;0;2;1;0;0;0;3;0;1;1;0;3;0;2;2;3;3;1;1;1;1;5;0;0;0;0;0;0;2;3;1;0;1;9;4;2;0;1;3;1;0;0;0;0;47;3;3;1;8;1;2;1;0;1;2;5;0;0;2;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;2;0;0;1;0
14874-6547;SUCESSO;1;2;0;0;0;0;0;0;0;36;0;0;0;0;0;0;0;0;0;7;0;5;0;2;1;0;1;0;0;0;0;0;0;0;1;0;0;0;18;2;1;0;0;0;1;0;0;3;3;3;10;6;0;4;5;0;0;0;1;1;1;1;0;33;1;0;0;0;9;0;5;0;2;1;0;0;0;0;5;0;3;1;0;0;0;0;1;1;0;38;2;0;0;0;0;0;0;20;0;0;7;4;2;1;0;1;0;1;0;0;0;0;0;3;0;2;1;0;0;0;3;0;1;0;0;3;3;0;0;4;4;2;1;0;1;33;1;0;6;0;0;4;4;4;3;0;1;9;1;1;0;2;1;0;0;0;0;0;54;1;5;3;4;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;3;0;0;1;0
15054-7111;SUCESSO;1;3;0;1;0;0;0;0;0;50;3;0;0;0;0;0;0;0;0;23;1;11;0;3;1;1;1;0;0;0;0;4;0;0;3;0;1;0;6;0;0;0;0;0;3;0;0;3;3;1;14;8;2;4;4;0;0;0;1;1;5;0;0;38;4;2;0;1;16;1;3;0;3;1;1;1;4;0;6;0;4;2;1;0;0;0;0;0;0;44;6;2;0;0;0;0;0;21;0;0;6;1;1;1;1;2;0;2;0;0;0;0;0;3;2;0;0;1;0;1;0;0;5;0;0;3;1;2;1;3;3;2;2;0;0;5;0;0;0;0;0;0;2;4;1;0;0;6;0;0;0;0;1;2;0;0;0;0;24;0;1;0;3;0;1;1;0;0;4;8;1;5;0;0;0;0;2;0;1;0;0;0;0;0;9;3;1;0;4;0;0;1;0
15183-5786;insucesso;0;2;0;0;1;1;1;1;0;29;0;0;1;0;0;0;0;1;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;7;1;1;0;4;0;2;1;0;1;0;0;0;0;0;0;4;1;0;3;1;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;11;3;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;2;1;1;1;5;5;3;3;2;0;8;2;2;1;1;1;0;3;5;0;0;2;13;1;0;0;0;5;0;0;0;0;0;8;2;1;0;4;0;1;1;1;0;0;3;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1
15183-6547;insucesso;0;2;1;0;1;0;1;0;0;39;1;0;0;0;0;0;0;5;0;10;0;3;0;1;1;0;1;1;1;0;0;2;0;0;2;0;0;0;14;0;2;0;0;0;1;0;0;2;2;0;1;0;0;1;5;0;2;0;0;0;0;0;0;10;2;1;0;0;2;1;2;1;1;1;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;22;1;1;0;0;0;1;1;5;0;0;1;1;1;0;0;2;0;1;0;0;0;0;0;4;0;0;0;2;0;0;1;0;3;2;1;0;0;0;0;2;2;2;1;0;0;2;0;0;0;0;0;0;1;2;0;0;1;6;0;0;0;0;2;0;0;0;0;0;23;0;1;0;4;1;0;0;0;0;0;4;1;0;2;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;1;0
15735-5786;insucesso;0;2;0;0;0;1;1;0;1;37;1;0;16;3;1;7;4;1;0;18;1;6;0;1;1;0;0;0;2;1;0;2;1;1;1;1;0;0;10;1;3;1;0;1;0;0;0;2;2;0;9;6;0;2;1;0;0;0;1;0;0;0;0;29;3;1;0;0;7;0;3;0;1;1;1;0;0;2;4;0;2;0;0;0;0;0;0;8;1;36;2;2;0;0;0;0;0;19;1;0;4;2;1;0;0;3;0;1;0;0;0;0;4;4;0;2;0;0;0;0;0;0;5;1;0;1;0;1;0;3;2;1;1;1;0;2;0;0;0;0;0;0;1;2;0;1;1;5;2;0;1;0;3;0;0;0;0;0;31;1;5;3;8;1;1;0;0;0;0;21;2;0;3;1;2;1;3;1;4;0;1;3;1;0;0;0;0;0;1;0;1;1;0
16627-6547;SUCESSO;1;3;0;0;0;0;0;0;0;35;0;0;3;0;0;1;0;1;0;4;0;1;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;14;1;3;0;1;3;1;0;0;2;2;0;0;0;0;0;6;0;0;0;0;0;0;2;0;14;0;0;0;0;5;0;2;0;0;0;0;0;1;0;3;0;1;0;0;0;0;0;0;0;0;17;1;0;0;1;0;0;0;6;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;6;0;3;3;1;0;0;0;0;2;2;0;0;0;0;0;2;2;1;1;1;0;4;1;0;0;0;0;0;1;2;0;0;0;9;1;0;0;2;1;1;1;0;0;0;44;0;1;0;4;0;1;0;0;0;1;10;0;0;2;0;0;0;2;0;4;0;0;0;0;1;1;0;0;0;4;1;0;1;0
17555-6395;SUCESSO;1;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;1;0;15;0;10;1;0;0;0;0;0;3;1;0;1;0;0;2;0;1;0;2;1;0;0;1;0;0;0;0;1;1;0;14;11;2;2;4;0;0;0;1;0;0;0;0;28;3;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;23;0;0;0;0;0;0;0;15;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;1;0;0;0;0;2;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;6;1;1;0;1;0;0;0;0;1;3;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18200-6547;insucesso;0;10;1;0;0;1;1;0;1;61;7;0;3;0;0;1;0;2;0;26;2;11;0;2;0;0;0;0;3;1;0;1;0;0;3;1;0;0;10;3;1;0;0;0;0;0;0;4;4;0;3;2;0;1;2;0;0;0;1;0;3;0;0;24;5;1;1;0;6;2;4;1;2;2;2;0;0;0;1;0;1;0;0;0;0;0;1;0;0;41;4;0;0;1;0;1;1;15;3;0;4;1;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;1;1;0;0;0;6;4;2;1;0;1;1;1;1;0;0;1;0;8;1;1;1;1;1;0;0;1;0;1;0;6;3;0;0;0;0;0;0;0;0;0;18;0;3;0;2;0;0;0;0;0;0;6;0;3;4;2;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
18344-4912;insucesso;0;2;0;0;0;2;1;0;0;22;2;2;1;0;0;0;0;0;0;12;2;9;0;3;2;0;3;3;1;0;1;0;0;0;0;0;0;0;3;0;1;0;1;4;0;0;0;3;3;3;2;1;0;1;0;0;0;0;0;0;0;0;0;16;2;2;2;0;8;0;5;0;3;2;2;0;0;1;7;1;5;2;2;2;2;2;0;4;1;19;3;1;0;0;0;0;0;15;2;2;7;4;2;0;0;7;1;5;2;2;2;2;2;1;0;1;0;1;2;0;2;1;0;0;0;2;2;1;1;1;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;2;0;0;0;0;1;0;0;1;0;1;14;0;2;1;2;1;0;0;0;0;0;7;4;0;0;0;1;1;1;1;5;3;2;0;0;0;0;0;0;0;0;0;0;1;0
19653-6547;SUCESSO;2;2;0;0;0;0;0;0;0;28;1;0;0;0;0;0;0;1;0;8;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;1;2;1;0;0;0;0;0;2;2;1;9;6;0;3;7;0;0;0;1;1;0;0;0;24;3;1;1;2;3;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;3;0;0;23;0;0;0;0;0;0;0;11;2;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;6;6;1;1;3;0;6;2;2;1;0;0;0;3;6;2;0;3;9;2;0;0;2;4;0;0;0;0;0;17;1;2;0;5;1;1;1;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
20475-5786;SUCESSO;1;5;0;1;0;0;0;0;0;77;1;0;3;0;0;1;0;4;0;33;1;18;3;3;2;1;1;0;4;1;0;3;1;0;8;0;1;0;17;4;3;0;0;1;1;0;0;4;4;2;16;10;5;4;8;0;0;0;3;0;1;0;0;46;13;4;2;2;7;1;5;0;2;0;0;0;2;0;6;0;3;1;0;0;0;0;1;0;0;63;10;4;1;1;0;0;0;31;5;0;5;4;2;0;0;2;0;0;0;0;0;0;0;6;2;3;1;1;0;0;4;0;4;0;0;2;1;1;0;3;3;1;0;1;1;6;2;1;2;0;0;1;1;2;1;0;1;13;3;0;0;6;2;1;2;0;0;0;35;0;9;2;8;1;0;0;0;1;4;6;1;1;0;0;0;0;1;0;2;0;0;0;0;1;0;0;0;0;1;1;0;1;0
21206-5102;SUCESSO;0;3;0;0;0;0;0;0;0;109;2;0;2;0;0;0;0;4;0;20;0;8;0;3;2;1;0;0;3;1;0;1;1;0;1;0;0;0;21;1;6;2;0;0;2;0;0;4;4;2;5;1;0;3;6;1;0;0;0;0;0;0;0;46;2;0;0;1;19;1;8;0;2;1;0;0;2;0;5;0;1;0;0;0;0;0;2;1;0;50;4;2;1;0;0;0;0;20;1;0;8;4;2;1;0;0;0;0;0;0;0;0;0;7;2;1;1;0;0;0;3;0;1;0;0;3;1;0;0;4;3;0;0;2;1;8;3;2;0;0;0;0;0;2;0;0;0;10;1;1;0;0;4;1;0;1;0;0;54;4;4;1;13;0;3;1;0;2;0;4;1;0;1;0;0;0;2;0;0;0;0;0;0;0;3;1;1;0;5;0;0;1;0
21782-5786;insucesso;0;2;0;0;0;0;1;1;0;19;0;0;1;1;0;0;1;0;0;6;1;2;0;0;0;0;1;0;0;0;0;0;0;0;2;2;0;0;2;1;1;1;0;0;0;0;0;1;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;5;3;3;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;8;1;0;0;0;0;0;0;4;3;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;0;0;0;0;0;0;0;9;0;1;1;2;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
21853-6019;SUCESSO;0;6;0;1;0;0;0;0;0;58;4;0;1;0;0;0;0;4;0;16;3;9;2;3;2;0;0;0;2;0;0;1;0;0;3;0;0;0;8;0;1;1;3;3;3;0;0;2;2;1;3;1;0;2;9;1;0;0;0;0;2;0;0;15;2;2;1;0;7;0;6;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;30;6;1;0;1;0;0;0;13;2;2;5;4;1;1;0;0;0;0;0;0;0;0;0;4;1;0;0;1;0;0;1;0;3;2;0;6;2;3;0;4;3;1;0;0;1;5;1;0;0;0;0;0;1;4;2;0;1;11;1;1;0;0;4;1;0;0;0;0;26;0;1;1;4;1;1;0;0;0;0;15;4;1;2;0;0;0;2;0;6;0;0;0;0;0;0;0;0;0;3;0;0;1;0
21973-6547;SUCESSO;1;6;0;0;0;0;0;0;0;75;4;0;3;0;0;1;0;5;0;45;0;31;5;1;0;0;4;0;6;5;0;1;0;0;4;0;1;0;4;1;1;1;0;1;1;0;0;2;2;1;15;13;4;2;9;1;0;0;5;5;0;0;0;66;10;2;1;1;8;0;3;0;3;3;3;2;1;0;5;0;2;0;0;0;0;0;0;3;0;60;2;1;1;0;0;0;0;47;6;1;3;1;1;1;1;4;0;1;0;0;0;0;0;8;0;6;1;0;0;1;2;0;2;2;0;4;1;3;2;2;1;0;0;1;0;2;1;1;0;0;0;0;0;1;0;0;1;7;0;0;0;1;2;1;1;1;0;0;8;0;1;1;2;0;2;1;0;0;2;19;3;0;4;0;0;0;4;0;1;0;0;0;0;0;0;0;0;0;2;0;0;1;0
22435-4912;insucesso;0;6;0;0;0;2;1;1;1;47;2;1;3;0;0;1;0;2;0;19;3;11;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;5;1;4;2;1;3;2;0;0;2;2;1;1;0;0;1;4;0;1;0;0;0;2;2;1;22;2;1;1;0;6;0;2;0;0;0;0;0;0;0;2;0;1;1;0;0;0;0;2;1;0;39;5;1;0;0;0;0;0;17;1;0;5;2;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;1;1;0;0;1;0;4;1;1;1;1;1;0;0;1;0;0;1;3;1;0;0;0;0;0;0;0;0;0;15;0;3;0;7;1;4;2;2;0;0;7;3;2;0;0;0;0;1;1;6;2;3;3;2;0;0;0;0;0;2;0;0;1;1
22435-6547;SUCESSO;1;3;0;0;0;0;0;0;0;42;0;0;3;0;0;0;0;5;0;12;0;7;1;5;2;1;1;0;0;0;0;0;0;0;4;1;1;0;5;0;2;1;0;0;1;0;0;1;1;1;3;2;2;1;9;1;0;0;0;0;0;2;0;13;6;2;0;0;7;2;3;0;1;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;23;1;0;0;0;0;0;0;10;2;1;6;2;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;8;1;1;0;0;1;0;0;0;0;0;21;0;1;1;5;0;2;1;0;0;1;2;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0
23859-6395;insucesso;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;3;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;3;3;0;0;0;0;0;0;0;1;0;0;0;0;0;9;0;0;2;0;0;0;0;0;0;0;0;2;1;0;1;0;1;0;0;1;0;1;10;1;0;0;6;0;5;3;1;0;0;1;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24303-7111;insucesso;0;1;1;0;0;0;1;0;0;15;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;1;0;0;0;0;0;0;1;1;0;5;1;0;4;3;0;1;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;10;1;1;0;0;0;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;1;0;0;1;0;6;1;1;0;0;0;0;0;1;0;1;0;3;1;0;0;0;1;0;0;0;0;0;15;0;2;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
25513-4912;SUCESSO;1;14;0;2;0;0;0;0;0;124;10;0;5;0;0;0;0;1;0;39;1;21;2;9;3;1;5;0;8;5;0;0;3;0;4;0;2;0;25;6;6;2;0;5;5;0;0;4;4;1;11;6;0;5;6;1;0;0;0;0;7;1;0;66;10;3;1;2;31;3;19;0;13;11;9;8;4;0;14;0;12;5;0;0;0;0;3;4;0;84;11;3;0;1;0;0;0;49;7;2;23;14;9;8;6;8;0;6;0;0;0;0;0;18;2;9;2;0;0;1;3;0;3;0;0;11;0;11;6;5;5;2;1;1;1;7;3;1;2;0;0;0;2;3;1;0;2;9;3;1;0;0;5;1;1;1;0;0;47;0;9;5;12;2;5;0;0;2;1;12;0;7;0;0;0;0;3;0;7;0;0;0;0;8;0;0;0;0;8;5;0;1;0
26766-5786;SUCESSO;1;14;0;6;0;0;0;0;0;483;4;0;40;0;0;17;0;2;0;310;43;156;34;19;8;6;17;0;50;10;0;2;0;0;13;5;2;0;15;5;5;4;2;17;5;71;57;5;5;3;76;56;23;18;9;1;0;0;24;12;0;0;0;277;94;45;21;2;43;12;14;0;8;3;1;1;5;0;40;0;15;7;1;0;0;0;0;12;0;388;101;44;17;2;59;0;0;214;59;25;34;11;8;3;1;29;0;11;0;0;0;0;0;69;11;19;6;8;0;2;2;0;5;4;0;1;1;0;0;4;4;2;0;2;0;14;1;1;2;0;0;0;1;3;1;0;0;25;8;3;0;3;4;0;3;2;0;0;26;0;8;2;10;3;6;3;0;1;12;41;10;0;5;0;0;0;4;0;27;0;0;0;0;3;17;10;7;6;8;1;0;1;0
27352-6395;SUCESSO;0;0;0;0;0;0;0;0;0;30;0;0;3;0;0;1;0;1;0;12;1;4;1;1;1;0;0;0;1;0;0;0;0;0;3;1;1;0;7;2;3;0;1;0;1;0;0;3;2;0;3;0;0;3;2;1;0;0;0;0;0;0;0;8;1;0;0;0;4;0;3;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;23;3;1;1;1;0;0;0;6;1;0;2;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;3;3;2;2;1;0;4;0;0;0;0;0;0;2;3;0;0;0;8;2;0;0;1;3;1;0;0;0;0;10;1;2;0;4;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
27548-6547;SUCESSO;0;3;0;0;0;0;0;0;0;29;1;0;2;0;0;1;0;0;0;8;0;1;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;2;0;0;0;1;0;0;1;1;3;3;0;3;2;0;1;1;0;0;0;3;3;3;1;0;20;0;0;0;0;4;0;2;0;2;0;0;0;0;0;2;0;1;0;0;0;0;0;0;2;0;24;1;0;0;0;1;0;0;8;0;0;1;1;1;0;0;1;0;1;0;0;0;0;0;2;0;2;0;0;0;0;0;0;3;1;0;8;2;4;3;1;1;1;1;0;0;1;1;0;0;0;0;0;1;1;0;0;1;2;1;0;0;0;1;0;0;0;0;0;8;0;0;0;2;0;0;0;0;0;0;6;0;3;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0
27699-4912;SUCESSO;1;10;0;2;0;0;0;0;0;162;8;0;17;0;0;4;0;4;0;90;11;43;12;5;0;0;4;0;21;7;0;4;0;0;12;1;3;0;6;0;1;0;1;2;2;7;5;6;6;4;28;22;14;6;7;1;0;0;10;3;0;0;0;93;47;15;9;3;20;7;4;0;2;0;0;0;1;0;9;0;2;0;0;0;0;0;2;2;0;130;40;14;6;1;5;0;0;64;21;6;11;2;2;0;0;6;0;2;0;0;0;0;0;31;6;9;3;6;0;1;3;0;6;1;0;1;0;0;0;5;5;1;1;3;1;16;4;3;4;0;0;0;1;6;0;0;2;19;2;2;0;2;5;7;0;1;0;0;25;0;2;0;8;0;3;2;0;0;1;12;2;0;2;0;0;0;0;0;3;0;0;0;0;2;0;0;0;0;3;2;0;1;0
