IdAluno;Resultado;1>;1>2>;1>46>;1>46>2>;13>;14>;14>14>;14>14>14>;14>14>2>;14>14>31>;14>2>;14>2>14>;14>2>14>31>;14>2>2>;14>2>31>;14>2>31>30>;14>2>41>;14>3>;14>3>2>;14>3>32>;14>3>32>31>;14>31>;14>31>14>;14>31>2>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>30>31>;14>31>31>;14>31>41>;14>32>;14>32>31>;14>32>31>30>;14>32>31>30>30>;14>32>31>31>;14>32>31>31>30>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>49>;14>7>;14>7>31>;14>7>5>;16>;16>31>;16>31>30>;17>;17>30>;17>30>14>;17>31>;2>;2>14>;2>14>2>;2>14>31>;2>14>41>;2>2>;2>2>14>;2>2>31>;2>2>31>30>;2>2>41>;2>31>;2>31>30>;2>31>30>30>;2>41>;2>41>2>;2>41>41>;2>41>41>41>;29>;29>48>;3>;3>14>;3>2>;3>2>2>;3>32>;3>32>31>;30>;30>14>;30>14>2>;30>14>31>;30>14>41>;30>17>;30>17>30>;30>2>;30>30>;30>30>14>;30>30>2>;30>30>30>;30>30>30>14>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>30>48>;30>30>31>;30>30>41>;30>30>48>;30>30>48>30>;30>31>;30>31>30>;30>31>30>31>;30>32>;30>41>;30>48>;30>48>30>;30>48>48>;31>;31>14>;31>14>2>;31>14>31>;31>14>41>;31>2>;31>30>;31>30>14>;31>30>2>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>30>30>30>30>30>30>;31>30>30>48>;31>30>31>;31>30>31>30>;31>30>31>30>31>;31>30>41>;31>30>48>;31>31>;31>31>30>;31>31>30>30>;31>31>41>;31>32>;31>41>;31>41>41>;31>48>;31>48>30>;32>;32>14>;32>31>;32>31>30>;32>31>30>30>;32>31>31>;32>31>31>30>;38>;41>;41>14>;41>2>;41>2>2>;41>2>41>;41>31>;41>31>30>;41>31>30>30>;41>41>;41>41>14>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>7>;46>;46>1>;46>1>2>;46>2>;48>;48>13>;48>14>;48>29>;48>30>;48>30>30>;48>48>;48>48>48>;48>48>48>48>;49>;49>48>;49>49>;49>49>48>;49>49>49>;49>49>49>49>;5>;5>5>;6>;6>14>;6>48>;6>6>;6>6>48>;6>6>6>;6>6>6>6>;6>6>6>6>6>;7>;7>14>;7>31>;7>5>;7>5>5>;7>6>;8>
19850-6398;insucesso;0;0;0;0;0;11;1;1;0;0;1;1;0;0;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;3;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;1;0;1;0;0;0;5;0;0;0;0;0;0;0;3;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;3;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;1;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
21340-6398;SUCESSO;1;0;1;0;0;45;8;0;2;2;9;2;0;1;0;0;0;1;0;0;0;9;4;0;4;2;0;0;0;2;0;1;0;0;0;0;0;0;11;0;0;3;1;1;0;2;3;0;0;1;1;0;0;0;0;0;11;5;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3;0;0;0;0;6;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;1;0;0;0;16;8;0;0;2;0;5;3;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;1;27;2;0;0;0;0;0;0;11;0;0;0;2;1;1;0;1;0;0;0;3;0;1;0;0;0;0;0;0;3;3;3;3;0;0;0;0;12;0;0;0;0;0;0;0;4;0;1;0;0;2;0
21367-6398;SUCESSO;0;0;0;0;0;15;0;0;0;0;5;2;0;0;0;0;0;0;0;0;0;3;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;2;1;0;0;1;0;0;0;0;0;0;0;0;0;5;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;3;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;7;0;0;0;0;1;0;0;5;0;0;1;4;3;2;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
21380-5714;SUCESSO;1;0;1;0;0;25;1;0;1;0;5;1;0;1;0;0;0;0;0;0;0;5;2;1;2;1;0;0;0;0;0;1;0;0;0;0;0;0;4;0;0;1;0;0;0;1;0;0;0;1;1;1;1;1;1;0;9;1;1;0;0;2;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;11;3;0;0;1;1;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;20;0;1;0;0;1;0;0;5;0;1;0;2;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22256-6388;insucesso;0;0;0;0;0;15;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;6;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;1;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;10;2;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
22522-6398;insucesso;0;0;0;0;0;4;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;3;1;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;1;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;3;2;1;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;1;0;0;3;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;0;0;0;0
22554-6398;SUCESSO;1;1;0;0;0;12;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;1;1;0;0;0;0;0;1;1;0;0;0;0;0;4;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;4;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;9;0;1;0;0;2;0;0;3;0;1;1;1;1;0;0;1;1;1;0;3;0;1;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23038-6398;insucesso;2;0;1;1;0;19;0;0;0;0;4;1;0;1;0;0;0;0;0;0;0;3;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;9;3;1;1;0;1;0;0;0;1;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;1;2;0;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;1;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;8;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;1;0;0;0;1;0;1;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
23184-6389;insucesso;0;0;0;0;0;8;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;3;0;0;1;1;1;1;0;0;0;0;1;1;0;1;1;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;5;2;0;0;2;0;0;0;2;0;0;1;0;1;1;1;1;0;1;0;0;0;2;0;0;0;0;0;0;0;7;0;0;0;0;0;4;2;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;11;1;0;0;0;0;0;0;5;0;0;0;3;1;1;0;0;0;0;0;12;0;0;0;0;0;4;1;0;1;0;0;0;0;0;0;0;12;0;8;6;6;1;1;0;2;0;0;0;0;0;1
23754-6398;SUCESSO;0;0;0;0;1;9;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;4;1;0;0;1;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;8;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23953-6388;SUCESSO;1;1;0;0;1;37;2;0;0;0;5;0;0;2;1;0;0;0;0;0;0;3;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;2;12;1;0;0;1;3;0;0;0;0;2;0;0;1;0;0;0;2;0;0;0;0;0;0;0;5;0;0;0;0;0;0;2;5;0;2;2;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;11;0;0;0;0;0;3;0;0;3;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;2;1;2;0;0;0;0;0;0;0;13;1;2;0;0;0;0;0;2;0;0;0;0;0;0;0;1;1;1;0;4;0;0;2;1;1;1;0;0;0;0;0;0;0;0;0;0;10;0;0;3;0;1;0;0;3;0;0;0;0;1;0
24091-6398;SUCESSO;0;0;0;0;0;21;4;0;0;2;2;0;0;1;1;1;0;0;0;0;0;14;0;0;9;0;7;4;2;0;0;0;2;0;0;0;0;0;2;1;1;0;0;0;0;0;2;0;1;2;2;2;1;1;0;0;5;0;0;0;0;2;0;2;0;0;3;2;1;0;0;0;0;2;1;0;0;0;0;0;0;19;1;0;0;0;0;0;1;12;1;1;7;1;5;2;0;0;1;1;0;2;2;2;1;0;0;1;3;2;0;22;3;0;0;0;0;16;0;0;10;5;3;1;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;3;1;1;1;0;0;0;0;5;0;1;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;2;2;1;0;0;0;2;2;1;1;0;0;1;1;0;0;0;0;0;0;0;0;5;0;1;1;1;0;0
24676-6388;insucesso;1;0;1;1;0;18;1;0;0;0;3;1;1;1;1;1;0;0;0;0;0;7;1;0;4;0;0;0;0;2;1;1;0;0;0;0;0;0;3;1;0;1;1;1;1;0;1;1;0;1;1;1;5;4;1;1;9;2;0;1;0;2;0;0;0;2;1;1;0;3;0;2;2;0;0;0;0;0;0;0;0;9;3;0;0;0;2;2;0;3;1;0;2;0;1;1;1;1;0;0;1;0;0;4;2;2;0;2;2;1;0;15;2;1;1;0;0;8;1;0;1;1;1;1;0;0;0;4;2;2;1;2;2;1;0;0;0;4;1;0;0;1;0;0;0;0;0;0;0;12;1;2;0;0;4;2;0;5;1;1;0;3;1;1;0;1;0;0;1;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
26859-6398;SUCESSO;0;0;0;0;0;59;4;0;0;0;5;2;0;1;2;1;0;3;1;0;0;8;0;0;3;0;1;1;0;0;0;0;9;0;0;0;0;0;16;0;0;7;1;0;0;9;0;0;0;4;1;1;3;3;1;0;14;3;0;0;1;2;0;0;0;1;2;1;1;1;0;0;0;6;3;3;1;1;0;0;0;28;6;3;0;0;2;2;0;9;3;0;5;2;1;1;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;38;3;0;0;0;1;21;2;0;7;5;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;14;1;11;10;0;0;0;1;31;1;1;1;0;2;1;1;11;0;1;2;2;0;0;0;2;0;0;0;12;0;2;6;0;0;2;0;0;13;10;5;4;0;0;1;1;2;0;0;0;0;0;0;0;4;0;0;1;1;0;0
27794-6398;SUCESSO;1;1;0;0;0;45;2;0;0;1;2;0;0;1;1;1;0;14;4;0;0;17;0;1;10;0;2;1;0;2;0;0;0;0;0;0;0;0;4;0;0;3;3;2;0;0;0;0;0;1;0;0;0;0;0;0;17;2;0;1;0;2;0;0;0;1;4;3;0;2;0;0;0;0;0;16;0;7;0;0;0;27;0;0;0;0;0;0;2;11;0;1;5;0;1;0;0;0;1;0;0;7;3;3;2;0;0;0;11;6;1;35;0;0;0;0;2;20;0;0;7;3;1;0;0;0;4;2;2;0;0;4;0;0;0;0;0;3;1;1;1;0;0;0;0;0;0;0;1;12;0;1;1;0;1;0;0;6;0;0;0;4;3;1;0;1;1;1;0;14;0;0;0;7;4;1;0;0;1;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0
27916-5714;insucesso;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27997-5714;insucesso;0;0;0;0;0;3;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1;1;1;0;0;0;2;0;0;0;0;0;0;0;0;3;1;1;1;0;0;1;1;0;0;0;0;0;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28022-6388;SUCESSO;0;0;0;0;0;13;0;0;0;0;5;0;0;3;2;0;0;0;0;0;0;3;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;8;1;0;1;0;5;0;1;0;2;3;1;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;2;0;0;2;0;1;1;1;1;1;0;0;1;0;0;0;0;0;0;1;0;1;10;1;0;0;0;0;2;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;0;0;0;0;3;0;3;2;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28149-6388;insucesso;0;0;0;0;0;17;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;5;0;0;3;0;0;0;0;1;1;0;0;0;0;0;0;0;9;1;0;2;0;0;0;0;0;0;0;1;1;0;3;2;1;1;3;2;1;0;1;1;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;4;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;8;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;14;1;1;0;0;1;0;0;4;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;1;1;9;1;6;6;5;1;0;0;0;0;0;0
28178-6398;SUCESSO;0;0;0;0;0;15;1;0;0;1;1;1;0;0;0;0;0;5;3;0;0;5;0;0;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;4;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;3;0;0;0;4;1;0;1;0;0;0;0;2;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;11;0;0;0;0;0;4;1;0;2;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;2;0;0;1;0;0;0;1;1;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28231-6388;SUCESSO;0;0;0;0;0;15;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;7;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;1;1;0;0;0;0;0;0;0;0;5;2;0;3;4;0;0;0;0;2;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;1;1;0;2;2;0;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;15;0;0;0;0;1;3;0;0;2;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;5;0;0;0;0;2;1;1;2;0;0;1;2;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28283-6389;insucesso;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;2;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0
28338-6388;insucesso;0;0;0;0;0;18;3;2;0;0;2;0;0;1;0;0;0;0;0;0;0;8;0;0;4;0;1;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;3;2;0;1;1;0;2;1;0;1;4;0;0;0;0;1;0;1;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;8;1;0;0;0;0;0;1;2;0;0;2;0;2;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;11;1;0;0;0;0;6;1;0;2;2;2;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;4;2;2;0;0;0;0
28350-6398;insucesso;0;0;0;0;0;11;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;3;1;1;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;2;0;1;1;1;0;4;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29058-6398;SUCESSO;1;1;0;0;0;26;3;0;0;1;5;0;0;0;0;0;0;0;0;0;0;4;1;0;2;0;1;1;1;1;1;0;0;0;0;0;0;0;1;0;0;1;1;1;0;3;3;0;2;0;0;0;3;2;1;0;10;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;6;0;1;1;0;0;0;0;16;1;0;1;0;0;0;0;1;0;0;1;0;1;1;1;1;0;0;0;0;0;7;5;5;0;1;3;0;0;19;5;0;0;0;0;10;0;0;1;1;1;1;1;1;0;6;5;0;0;2;2;1;0;0;0;2;1;0;0;0;0;0;0;0;0;0;1;10;0;3;2;0;0;0;0;8;0;2;0;7;5;4;0;1;1;1;0;6;0;0;5;0;0;0;0;0;3;3;0;0;0;0;10;7;2;0;0;0;0;0;0;0;7;0;3;2;2;0;0
29128-6389;insucesso;0;0;0;0;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;3;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
29688-6398;SUCESSO;1;1;0;0;0;16;0;0;0;0;4;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;12;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;5;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
